Section Name,Is Relevant
Progress Notes,Yes
Progress Notes,Yes
Progress Notes - All Other Notes (continued),Yes
Progress Notes - Nursing,Yes
PROGRESS NOTES (Continued),Yes
Progress Notes:,Yes
Progress Quick Note,Yes
Progress/Discharge Note OT,Yes
Progress/Discharge Note PT,Yes
Progress/Discharge Note PT,Yes
Provider - Admitting Notes_History and Physical,Yes
Provider - Consult Notes,Yes
Provider - Discharge Notes,Yes
Provider - Progress Notes,Yes
pulmonary and critical care consult note,Yes
PULMONARY CRITICAL CARE,Yes
Pulmonary Med,No
Pulmonology Consult,Yes
Pulmonology Progress Note,Yes
Pulmonology Progress Note,Yes
PURCHASEORDER REQUEST,No
Radiology,Yes
Radiology results,No
RECONCILIATION,No
REGISTRATION ADMISSION,No
Rehab,No
REHAB CONSULT NOTE,Yes
REHAB Documentation,No
Rehab Services,No
Rehabilitation,No
RENAL PROGRESS NOTE,Yes
RE-OP/OSU ASSESSMENTS,Yes
Report of operation,Yes
Respiratory Care Services,No
Respiratory Documentation,No
RESPIRATORY THERAPY ADMISSION NOTE,No
Restraints Documentation,No
Results,Yes
s General Laboratory Order: *Morphology Order Date/Time: 4/2,No
Significant Event - Other Inpatient Notes,No
Social Work Progress Notes,Yes
Speech Language Pathology Initial Evaluation,No
Spiritual Care Assessment/Progress Note,Yes
STERN CARDIOVASCULAR ICU PROGRESS NOTE,Yes
Summary Discharge Report*,Yes
Summary of Medical History,No
Surgery - Anesthesia_Sedation Records,Yes
Surgery - Operative Records,Yes
Surgery - Peri-Operative Records,Yes
Surgery / Procedure Booking Slip,No
Surgery and procedure reports,No
Surgery Nursing Notes,No
Surgery Report,No
Surgical Case Record,No
Surgical Chart,No
Surgical Documentation,No
Surgical Documents,No
Surgical pathology report,No
Surgical Reports,No
Table of Contents,Yes
Test-Completion & Empty String,No
Transcribed Documents,No
Transesophageal Echocardiogram,Yes
Transfer Notes,No
Transfusion Medicine,No
Transplant Services - Brief Nutrition Follow Up Assessment,No
TRAUMA HISTORY AND PHYSICAL,Yes
Triage Information,No
Ultrasound Report,No
Un assign orders,No
USF Internal Medicine Progress Note,Yes
Vital Sign Data,No
Vital Signs,No
Vitals and Measurements,No
Wound Care Progress Note,Yes
Wound Documentation,No
XRay Report,No
Consultation Note,Yes
Physician Progress Note,Yes
Labs,Yes
