sub_section_name,is_relevant,section_name,main_section
CODE STATUS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
ATTENDING PROVIDERS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
CONSULTING PROVIDERS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Prescriptions & Medication Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
MEDICAL AND VISIT INFORMATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Safety Instructions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
 Patient Portal Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Instructions from your Health Care Provider,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medication & Last dose information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medication Instructions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Admission data,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
HPI reason for consultation,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Hospital with significant Findings,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Resolved Hospital Problems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Active Non-Hospital Problems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
REASON FOR HOSPITALIZATION AND HOSPITAL COURSE,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
TRANSITION/POST DISCHARGE CARE/PENDING TESTS/REFERRALS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
LINES/DRAINS/WOUNDS AT DISCHARGE,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Admit Diagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Active Problems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Surgical Procedure(s),Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Summary of History and Hospital Course,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
RECOMMENDATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Diagnoses present on admission,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Operation /procedure performed,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
lines and tubes,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Consultating services,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
FINDINGS/IMPRESSION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DISCHARGE CONDITION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DC Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Quality Measures Discharge,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Order,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
New Prescriptions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Continue taking the following Medication ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
STOP taking the following Medication ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Additional Diagnoses Treated During This Hospitalization,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
History on Presentation (from H & P),Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Events Leading to Death ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Death Physical Exam,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
CARDIOLOGY ATTENDING,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
ICD placement,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
IDENTIFYING DATA,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
SUCCINCT SUMMARY OF ADMISSION STATUS AND HOSPITAL COURSE,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PATIENT'S MEDICAL CONDITION AT DISCHARGE,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
SUMMARY OF PROCEDURE(S) PERFORMED,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
RESULTS PENDING AT TIME OF DISCHARGE,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
MEDICATIONS TAKEN PRIOR TO ADMISSION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
IMMUNIZATION HISTOR,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DISCHARGE ORDERS AND INSTRUCTIONS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Brief HPI,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Care Management,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Palliative Care SW,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Education Services,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Therapeutic Activities,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Vital Signs/Skin,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PCP,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Hospital Care Provider(s) for this visit,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Diet,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Activity,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Incision/Wound Care,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Additional Education,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
My Follow-up Appointment(s,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Procedures and Diagnostics,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Problem List/Past Medical History,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DISCHARGE PHYSICAL EXAMINATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Examinations,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Encounter information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Free Text Dx A&P Notes,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Active plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Laboratory results,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient education,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
surgical history,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Clinical Resume,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Summary of Hospitalization,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Free text Dx A&P Note,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Free text obj Note,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Chief complaint on admission,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Intake andOutput,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Active Medications,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Admitting Diagnoses,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medical History,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Active Hospital Problems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
General Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Operations and procedures,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Staff ,No,Anesthesia,Anesthesia Reports
Prescription Medications,Yes,Anesthesia,Anesthesia Reports
Labs (Last four charted values),Yes,Anesthesia,Anesthesia Reports
Assessment and Plan,Yes,Anesthesia,Anesthesia Reports
Patient Conditions:,Yes,Anesthesia,Anesthesia Reports
PROCEDURE:,Yes,Anesthesia,Anesthesia Reports
INDICATION:,Yes,Anesthesia,Anesthesia Reports
FINDINGS:,Yes,Anesthesia,Anesthesia Reports
IMPRESSION:,Yes,Anesthesia,Anesthesia Reports
PLAN:,Yes,Anesthesia,Anesthesia Reports
Events,Yes,Anesthesia Encounter,Anesthesia Reports
Procedure Summary ,Yes,Anesthesia Encountes,Anesthesia Reports
Facility Administered Medications ,Yes,ANESTHESIA GRAPH,Anesthesia Reports
Anesthesia Plan ,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Anesthesia Post Evaluation ,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Medications,Yes,ANESTHESIA ORDERS,Anesthesia Reports
PRBC,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Patient Record,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Review of Medical History and Risk Assessment,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Extracorporeal Circulation Record ,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Planned procedure,Yes,ANESTHESIA ORDERS,Anesthesia Reports
HPI,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Anesthesia/Sedation History,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Ros/PMH(Review of System/past Medical History),Yes,ANESTHESIA ORDERS,Anesthesia Reports
ASA plan,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Anesthesia Information,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Procedure Summary,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Responsible Staff,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Attestation Information,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Anesthesia Checklist,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Pre-anesthesia evaluation,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Active Hospital Problems,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Medical History,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Other History,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Assessment,Yes,ANESTHESIA ORDERS,Anesthesia Reports
ANESTHESIA RECORD,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Anesthesia record Continuation,Yes,ANESTHESIA ORDERS,Anesthesia Reports
CARDIO PULMONARY PERFUSION RECORD,Yes,ANESTHESIA ORDERS,Anesthesia Reports
BLOOD BANK TRANSFUSION RECORD,Yes,ANESTHESIA ORDERS,Anesthesia Reports
RADIOLOGY NURSING VITALS SHEET ,Yes,ANESTHESIA ORDERS,Anesthesia Reports
ENDOSCOPY I rADIOLOGY NURSING RECORD,Yes,ANESTHESIA ORDERS,Anesthesia Reports
PRE-PROCEDURE REVIEW OF SYSTEMS,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Medication,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Past Medical History,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Past Surgical History,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Social History,Yes,ANESTHESIA ORDERS,Anesthesia Reports
Vital Signs,No,ANESTHESIA ORDERS,Anesthesia Reports
Labs,No,ANESTHESIA ORDERS,Anesthesia Reports
PROPOSED PROCEDURE,Yes,ANESTHESIA ORDERS,Anesthesia Reports
SURGEON/PROCEDURAUST,Yes,ANESTHESIA ORDERS,Anesthesia Reports
HISTORY OF PRESENT ILLNESS,Yes,ANESTHESIA ORDERS,Anesthesia Reports
ROS,Yes,ANESTHESIA ORDERS,Anesthesia Reports
ANESTHETIC HISTORY,Yes,ANESTHESIA ORDERS,Anesthesia Reports
ALLERGIES,Yes,ANESTHESIA ORDERS,Anesthesia Reports
LABORATORY STUDIES,Yes,ANESTHESIA ORDERS,Anesthesia Reports
OTHER STUDIES,Yes,ANESTHESIA ORDERS,Anesthesia Reports
PHYSICAL EXAMINATION:,Yes,ANESTHESIA ORDERS,Anesthesia Reports
PLAN,Yes,ANESTHESIA ORDERS,Anesthesia Reports
TEE ,Yes,Anesthesia Pre-Evaluation,Anesthesia Reports
Central Venous Line,Yes,ANESTHESIA PRE-PROCEDURE CONSULT / H & P,Anesthesia Reports
Anesthesia History,Yes,Anesthesia Record,Anesthesia Reports
Anesthesia Summary,Yes,Anesthesia record Report,Anesthesia Reports
Surgical History,Yes,Anesthesia Records,Anesthesia Reports
Labs (Last four charted values),Yes,Anesthesia Records,Anesthesia Reports
Assessment and Plan,Yes,Anesthesia Records,Anesthesia Reports
Patient Conditions:,Yes,Anesthesia Records,Anesthesia Reports
PROCEDURE:,Yes,Anesthesia Records,Anesthesia Reports
INDICATION:,Yes,Anesthesia Records,Anesthesia Reports
FINDINGS:,Yes,Anesthesia Records,Anesthesia Reports
IMPRESSION:,Yes,Anesthesia Records,Anesthesia Reports
PLAN:,Yes,Anesthesia Records,Anesthesia Reports
Assessment,Yes,Blue Surgery History and Physical,History & Physical
SEDATION,Yes,Cardiac cath,OPERATIVE REPORT
